source_taxon_name,interaction_type,target_taxon_name,study_citation,study_url,study_source_archive_uri
Phaenicia sericata,preyedUponBy,Solenopsis xyloni,"@article{McKinnerney_1978,	doi = {10.2307/3671178}, url = {https://doi.org/10.2307%2F3671178}, year = 1978, month = {dec}, publisher = {{JSTOR}}, volume = {23}, number = {4}, pages = {563}, author = {Marsha McKinnerney}, title = {Carrion Communities in the Northern Chihuahuan Desert}, journal = {The Southwestern Naturalist}}",https://www.jstor.org/stable/pdf/3671178.pdf?refreqid=excelsior%3A9615c0ca2bd96f73e7b3a6fa141aa19c,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip
Cochliomyia macellaria,preyedUponBy,Solenopsis xyloni,"@article{McKinnerney_1978,	doi = {10.2307/3671178}, url = {https://doi.org/10.2307%2F3671178}, year = 1978, month = {dec}, publisher = {{JSTOR}}, volume = {23}, number = {4}, pages = {563}, author = {Marsha McKinnerney}, title = {Carrion Communities in the Northern Chihuahuan Desert}, journal = {The Southwestern Naturalist}}",https://www.jstor.org/stable/pdf/3671178.pdf?refreqid=excelsior%3A9615c0ca2bd96f73e7b3a6fa141aa19c,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip
Sarcophaga utilis,interactsWith,Solenopsis xyloni,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Sinea complexa,interactsWith,Solenopsis xyloni,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Oxysarcodexia ochripyga,interactsWith,Solenopsis xyloni,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Lucilia sericata,interactsWith,Solenopsis xyloni,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Cochliomyia macellaria,interactsWith,Solenopsis xyloni,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Eciton burchellii,interactsWith,Dorylus,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Solenopsis richteri,interactsWith,Solenopsis richteri,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Eurysternus caribaeus,eatenBy,Solenopsis geminata,"B.W. Cornaby. (1974). Carrion Reduction by Animals in Contrasting Tropical Habitats. Biotropica. 6(1), pp. 51-63.",,https://github.com/globalbioticinteractions/globalwebdb/archive/12f2c1ad026e634aea47dc40c0a5e9d463165058.zip
Deltochilum lobipes,eatenBy,Solenopsis geminata,"B.W. Cornaby. (1974). Carrion Reduction by Animals in Contrasting Tropical Habitats. Biotropica. 6(1), pp. 51-63.",,https://github.com/globalbioticinteractions/globalwebdb/archive/12f2c1ad026e634aea47dc40c0a5e9d463165058.zip
Onthophagus praecellens,eatenBy,Solenopsis geminata,"B.W. Cornaby. (1974). Carrion Reduction by Animals in Contrasting Tropical Habitats. Biotropica. 6(1), pp. 51-63.",,https://github.com/globalbioticinteractions/globalwebdb/archive/12f2c1ad026e634aea47dc40c0a5e9d463165058.zip
Onthophagus praecellens,preyedUponBy,Solenopsis geminata,"@article{Cornaby_1974,	doi = {10.2307/2989697}, url = {https://doi.org/10.2307%2F2989697}, year = 1974, month = {apr}, publisher = {{JSTOR}}, volume = {6}, number = {1}, pages = {51}, author = {Barney W. Cornaby}, title = {Carrion Reduction by Animals in Contrasting Tropical Habitats}, journal = {Biotropica}}",https://www.jstor.org/stable/2989697?seq=1#metadata_info_tab_contents,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip
Deltochilum lobipes,preyedUponBy,Solenopsis geminata,"@article{Cornaby_1974,	doi = {10.2307/2989697}, url = {https://doi.org/10.2307%2F2989697}, year = 1974, month = {apr}, publisher = {{JSTOR}}, volume = {6}, number = {1}, pages = {51}, author = {Barney W. Cornaby}, title = {Carrion Reduction by Animals in Contrasting Tropical Habitats}, journal = {Biotropica}}",https://www.jstor.org/stable/2989697?seq=1#metadata_info_tab_contents,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip
Eurysternus caribaeus,preyedUponBy,Solenopsis geminata,"@article{Cornaby_1974,	doi = {10.2307/2989697}, url = {https://doi.org/10.2307%2F2989697}, year = 1974, month = {apr}, publisher = {{JSTOR}}, volume = {6}, number = {1}, pages = {51}, author = {Barney W. Cornaby}, title = {Carrion Reduction by Animals in Contrasting Tropical Habitats}, journal = {Biotropica}}",https://www.jstor.org/stable/2989697?seq=1#metadata_info_tab_contents,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip
Cimex hemipterus,interactsWith,Solenopsis geminata,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Eurysternus caribaeus,interactsWith,Solenopsis geminata,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Deltochilum lobipes,interactsWith,Solenopsis geminata,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Onthophagus praecellens,interactsWith,Solenopsis geminata,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Crematogaster,interactsWith,Crematogaster crinosa,https://arctos.database.museum/guid/UTEP:Ento:1451,https://arctos.database.museum/guid/UTEP:Ento:1451,https://github.com/globalbioticinteractions/vertnet/archive/a2fbb10c1497ce4a2726e9cd238530c531abe82c.zip
Aphaenogaster fulva,interactsWith,Brachymyrmex,https://arctos.database.museum/guid/UTEP:Ento:1913,https://arctos.database.museum/guid/UTEP:Ento:1913,https://github.com/globalbioticinteractions/vertnet/archive/a2fbb10c1497ce4a2726e9cd238530c531abe82c.zip
Casinaria grandis,parasitoidOf,Brachymyrmex,"Piechnik et al. (2008), Simberloff and Wilson (1969)",,https://github.com/globalbioticinteractions/brose-gateway/archive/c89ac44d03decc76d59908d74e2a5ff6d3cd618d.zip
Calliephialtes ferrugineus,parasitoidOf,Brachymyrmex,"Piechnik et al. (2008), Simberloff and Wilson (1969)",,https://github.com/globalbioticinteractions/brose-gateway/archive/c89ac44d03decc76d59908d74e2a5ff6d3cd618d.zip
Ceroplastes,preyedUponBy,Brachymyrmex,"Piechnik et al. (2008), Simberloff and Wilson (1969)",,https://github.com/globalbioticinteractions/brose-gateway/archive/c89ac44d03decc76d59908d74e2a5ff6d3cd618d.zip
Melittobia chalybii,parasitoidOf,Brachymyrmex,"Piechnik et al. (2008), Simberloff and Wilson (1969)",,https://github.com/globalbioticinteractions/brose-gateway/archive/c89ac44d03decc76d59908d74e2a5ff6d3cd618d.zip
Ramedia pauperata,symbiontOf,Camponotus blandus,"Cavalleri, A., Kaminski, L.A. &amp; Mendonça, M.de S., Jr. (2010) Ectoparasitism in <i>Aulacothrips</i> (Thysanoptera: Heterothripidae) revisited: Host diversity on honeydew-producing Hemiptera and description of a new species. <i>Zoologischer Anzeiger</i>, 249(3-4), 209–221. https://doi.org/10.1016/j.jcz.2010.09.002",https://doi.org/10.1016/j.jcz.2010.09.002,https://api.checklistbank.org/dataset/2317/archive.zip
Guayaquila xiphias,symbiontOf,Camponotus blandus,"Cavalleri, A., Kaminski, L.A. &amp; Mendonça, M.de S., Jr. (2010) Ectoparasitism in <i>Aulacothrips</i> (Thysanoptera: Heterothripidae) revisited: Host diversity on honeydew-producing Hemiptera and description of a new species. <i>Zoologischer Anzeiger</i>, 249(3-4), 209–221. https://doi.org/10.1016/j.jcz.2010.09.002",https://doi.org/10.1016/j.jcz.2010.09.002,https://api.checklistbank.org/dataset/2317/archive.zip
Enchenopa gracilis,symbiontOf,Camponotus blandus,"Cavalleri, A., Kaminski, L.A. &amp; Mendonça, M.de S., Jr. (2010) Ectoparasitism in <i>Aulacothrips</i> (Thysanoptera: Heterothripidae) revisited: Host diversity on honeydew-producing Hemiptera and description of a new species. <i>Zoologischer Anzeiger</i>, 249(3-4), 209–221. https://doi.org/10.1016/j.jcz.2010.09.002",https://doi.org/10.1016/j.jcz.2010.09.002,https://api.checklistbank.org/dataset/2317/archive.zip
Homoptera,interactsWith,Ectatomma tuberculatum,https://arctos.database.museum/guid/UTEP:Ento:3141,https://arctos.database.museum/guid/UTEP:Ento:3141,https://github.com/globalbioticinteractions/vertnet/archive/a2fbb10c1497ce4a2726e9cd238530c531abe82c.zip
Thisbe irenea,interactsWith,Ectatomma tuberculatum,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Guayaquila gracilicornis,interactsWith,Ectatomma tuberculatum,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip
Apocephalus paraponerae,hasHost,Ectatomma tuberculatum,http://www.ncbi.nlm.nih.gov/nuccore/7263060,http://www.ncbi.nlm.nih.gov/nuccore/7263060,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Acanthaclisis occitanica,preysOn,Solenopsis fugax,"Engel, M. S., & Grimaldi, D. A. (2007). The Neuropterid Fauna of Dominican and Mexican Amber (Neuropterida: Megaloptera, Neuroptera). American Museum Novitates, 2007(3587), 1–58. https://doi.org/10.1206/0003-0082(2007)3587[1:TNFODA]2.0.CO;2",https://doi.org/10.1206/0003-0082(2007)3587%5B1:TNFODA%5D2.0.CO;2,https://github.com/globalbioticinteractions/trophiCH/archive/9dcb8b2670c4675817c605f5add33cd183d3fb0e.zip
Euroleon nostras,preysOn,Solenopsis fugax,"Engel, M. S., & Grimaldi, D. A. (2007). The Neuropterid Fauna of Dominican and Mexican Amber (Neuropterida: Megaloptera, Neuroptera). American Museum Novitates, 2007(3587), 1–58. https://doi.org/10.1206/0003-0082(2007)3587[1:TNFODA]2.0.CO;2",https://doi.org/10.1206/0003-0082(2007)3587%5B1:TNFODA%5D2.0.CO;2,https://github.com/globalbioticinteractions/trophiCH/archive/9dcb8b2670c4675817c605f5add33cd183d3fb0e.zip
Gymnocnemia variegata,preysOn,Solenopsis fugax,"Engel, M. S., & Grimaldi, D. A. (2007). The Neuropterid Fauna of Dominican and Mexican Amber (Neuropterida: Megaloptera, Neuroptera). American Museum Novitates, 2007(3587), 1–58. https://doi.org/10.1206/0003-0082(2007)3587[1:TNFODA]2.0.CO;2",https://doi.org/10.1206/0003-0082(2007)3587%5B1:TNFODA%5D2.0.CO;2,https://github.com/globalbioticinteractions/trophiCH/archive/9dcb8b2670c4675817c605f5add33cd183d3fb0e.zip
Myrmeleon formicarius,preysOn,Solenopsis fugax,"Engel, M. S., & Grimaldi, D. A. (2007). The Neuropterid Fauna of Dominican and Mexican Amber (Neuropterida: Megaloptera, Neuroptera). American Museum Novitates, 2007(3587), 1–58. https://doi.org/10.1206/0003-0082(2007)3587[1:TNFODA]2.0.CO;2",https://doi.org/10.1206/0003-0082(2007)3587%5B1:TNFODA%5D2.0.CO;2,https://github.com/globalbioticinteractions/trophiCH/archive/9dcb8b2670c4675817c605f5add33cd183d3fb0e.zip
Myrmeleon hyalinus,preysOn,Solenopsis fugax,"Engel, M. S., & Grimaldi, D. A. (2007). The Neuropterid Fauna of Dominican and Mexican Amber (Neuropterida: Megaloptera, Neuroptera). American Museum Novitates, 2007(3587), 1–58. https://doi.org/10.1206/0003-0082(2007)3587[1:TNFODA]2.0.CO;2",https://doi.org/10.1206/0003-0082(2007)3587%5B1:TNFODA%5D2.0.CO;2,https://github.com/globalbioticinteractions/trophiCH/archive/9dcb8b2670c4675817c605f5add33cd183d3fb0e.zip
