par_interacao
Trichosanthes pentaphylla | interactsWith | Oecophylla smaragdina
Entada phaseoloides | interactsWith | Oecophylla smaragdina
Rockinghamia angustifolia | interactsWith | Oecophylla smaragdina
Jasminum didymum | interactsWith | Oecophylla smaragdina
Unidentified sp1 M_PA_004 | interactsWith | Oecophylla smaragdina
Merremia peltata | interactsWith | Oecophylla smaragdina
Licuala ramsayi | interactsWith | Oecophylla smaragdina
Passiflora | interactsWith | Oecophylla smaragdina
Abundance | interactsWith | Oecophylla smaragdina
Smilax australis | interactsWith | Oecophylla smaragdina
Archontophoenix alexandrae | interactsWith | Oecophylla smaragdina
Syzygium cormiflorum | interactsWith | Oecophylla smaragdina
Dysoxylum papuanum | interactsWith | Oecophylla smaragdina
Cryptocarya hypospodia | interactsWith | Oecophylla smaragdina
Coffea canephora | pollinatedBy | Oecophylla smaragdina
Adenia heterophylla | eatenBy | Oecophylla smaragdina
Smilax australis | eatenBy | Oecophylla smaragdina
Jasminum didymum | eatenBy | Oecophylla smaragdina
Passiflora | eatenBy | Oecophylla smaragdina
Archontophoenix alexandrae | eatenBy | Oecophylla smaragdina
Macaranga involucrata | eatenBy | Oecophylla smaragdina
Flagellaria indica | eatenBy | Oecophylla smaragdina
Licuala ramsayi | eatenBy | Oecophylla smaragdina
Dysoxylum papuanum | eatenBy | Oecophylla smaragdina
Merremia peltata | eatenBy | Oecophylla smaragdina
Castanospermum australe | eatenBy | Oecophylla smaragdina
Syzygium cormiflorum | eatenBy | Oecophylla smaragdina
Cryptocarya murrayi | eatenBy | Oecophylla smaragdina
Cryptocarya hypospodia | eatenBy | Oecophylla smaragdina
Beauveria bassiana | pathogenOf | Oecophylla smaragdina
Normanbya normanbyi | eatenBy | Oecophylla smaragdina
Pachygone longifolia | eatenBy | Oecophylla smaragdina
Cardwellia sublimis | eatenBy | Oecophylla smaragdina
Elaeocarpus angustifolius | eatenBy | Oecophylla smaragdina
Toona ciliata | eatenBy | Oecophylla smaragdina
Entada phaseoloides | eatenBy | Oecophylla smaragdina
Rockinghamia angustifolia | eatenBy | Oecophylla smaragdina
Wrightia laevis | eatenBy | Oecophylla smaragdina
Syzygium erythrocalyx | eatenBy | Oecophylla smaragdina
Trichosanthes pentaphylla | eatenBy | Oecophylla smaragdina
Canthidium laetum | interactsWith | Atta mexicana
Canthon indigaceus | interactsWith | Atta mexicana
Beauveria bassiana | pathogenOf | Atta mexicana
Ophiocordyceps unilateralis | pathogenOf | Polyrhachis lamellidens
Myrmecomyces annellisiae | hasHost | Solenopsis quinquecuspis
Beauveria bassiana | pathogenOf | Solenopsis quinquecuspis
Myrmicinosporidium durum | pathogenOf | Pogonomyrmex barbatus
Metarhizium anisopliae var. anisopliae | pathogenOf | Pogonomyrmex barbatus
Beauveria bassiana | pathogenOf | Solenopsis saevissima
Theobroma grandiflorum | pollinatedBy | Solenopsis saevissima
with termites | interactsWith | Solenopsis saevissima
crickets # 5159 | interactsWith | Solenopsis xyloni
Sol | interactsWith | Solenopsis xyloni
Solenopsis xyloni | interactsWith | Solenopsis xyloni
S. utilis larvae | eatenBy | Solenopsis xyloni
Cochliomyia macellaria | eatenBy | Solenopsis xyloni
Wiedemannia (Wiedemannia) | eatenBy | Solenopsis xyloni
O. ochripyga larvae | eatenBy | Solenopsis xyloni
Sericata | eatenBy | Solenopsis xyloni
Phaenicia sericata | eatenBy | Solenopsis xyloni
Myrsidea birmensis | eatenBy | Solenopsis xyloni
Sinea complexa | eats | Solenopsis xyloni
Wiedemannia (Wiedemannia) | preyedUponBy | Solenopsis xyloni
Sericata | preyedUponBy | Solenopsis xyloni
Sinea complexa | preysOn | Solenopsis xyloni
Phaenicia sericata | preyedUponBy | Solenopsis xyloni
O. ochripyga larvae | preyedUponBy | Solenopsis xyloni
Cochliomyia macellaria | preyedUponBy | Solenopsis xyloni
Cardinalis | interactsWith | Solenopsis xyloni
Sarcophaga utilis | interactsWith | Solenopsis xyloni
Sinea complexa | interactsWith | Solenopsis xyloni
Oxysarcodexia ochripyga | interactsWith | Solenopsis xyloni
Beauveria bassiana | pathogenOf | Solenopsis xyloni
Burenella dimorpha | pathogenOf | Solenopsis xyloni
Lucilia sericata | interactsWith | Solenopsis xyloni
Cochliomyia macellaria | interactsWith | Solenopsis xyloni
Army ant associated cyclovirus 1 | pathogenOf | Dorylus
Army ant associated cyclovirus 4 | pathogenOf | Dorylus
Army ant associated cyclovirus 8 | pathogenOf | Dorylus
Army ant associated cyclovirus 9 | pathogenOf | Dorylus
Army ant associated cyclovirus 2 | pathogenOf | Dorylus
Army ant associated cyclovirus 5 | pathogenOf | Dorylus
Army ant associated cyclovirus 6 | pathogenOf | Dorylus
Army ant associated cyclovirus 3 | pathogenOf | Dorylus
Acari | hasHost | Dorylus
Paecilomyces amoenoroseus | pathogenOf | Dorylus
Gorilla | eats | Dorylus
Nectophrynoides asperginis | interactsWith | Dorylus
Eciton burchellii | interactsWith | Dorylus
Paecilomyces amoenoroseus | pathogenOf | Phrynoponera gabonensis
Paecilomyces amoenoroseus | pathogenOf | Crematogaster gabonensis
Metarhizium anisopliae | pathogenOf | Solenopsis richteri
Burenella dimorpha | pathogenOf | Solenopsis richteri
Solenopsis richteri | interactsWith | Solenopsis richteri
Solenopsis | interactsWith | Solenopsis richteri
Eurysternus caribaeus | eatenBy | Solenopsis geminata
Plebejus | eatenBy | Solenopsis geminata
Aneides | eatenBy | Solenopsis geminata
Deltochilum lobipes | eatenBy | Solenopsis geminata
toad carrion | eatenBy | Solenopsis geminata
E. caludicans | eatenBy | Solenopsis geminata
Onthophagus praecellens | eatenBy | Solenopsis geminata
Coilodes castaneus | eatenBy | Solenopsis geminata
Coilodes castaneus | preyedUponBy | Solenopsis geminata
Plebejus | preyedUponBy | Solenopsis geminata
Onthophagus praecellens | preyedUponBy | Solenopsis geminata
E. caludicans | preyedUponBy | Solenopsis geminata
Deltochilum lobipes | preyedUponBy | Solenopsis geminata
Aneides | preyedUponBy | Solenopsis geminata
Eurysternus caribaeus | preyedUponBy | Solenopsis geminata
Acari | hasHost | Solenopsis geminata
Ipomoea pes-caprae brasiliensis | interactsWith | Solenopsis geminata
Cimex hemipterus | interactsWith | Solenopsis geminata
Achatina fulica | interactsWith | Solenopsis geminata
Eurysternus caribaeus | interactsWith | Solenopsis geminata
Deltochilum lobipes | interactsWith | Solenopsis geminata
Onthophagus praecellens | interactsWith | Solenopsis geminata
Kneallhazia solenopsae | hasHost | Solenopsis geminata
Nicotiana tabacum | eatenBy | Solenopsis geminata
Citrus | eatenBy | Solenopsis geminata
Burenella dimorpha | pathogenOf | Solenopsis geminata
Mattesia geminata | pathogenOf | Solenopsis geminata
Mattesia dispora | pathogenOf | Solenopsis geminata
Tachigali myrmecophyla | interactsWith | Crematogaster erecta
Vellozia nivea | eatenBy | Crematogaster erecta
Miconia ferruginata | eatenBy | Crematogaster erecta
Vellozia alutacea | eatenBy | Atta laevigata
Leucoagaricus gongylophorus | hasHost | Atta laevigata
Curvularia geniculata | pathogenOf | Atta laevigata
associated In th Crematogaster72179 | interactsWith | Atta laevigata
Barbacenia flava | eatenBy | Pseudomyrmex termitarius
Baccharis concinna | eatenBy | Crematogaster crinosa
Crematogaster | interactsWith | Crematogaster crinosa
same twig 19108 and 19109 but in separate parts | interactsWith | Crematogaster crinosa
Symphyopappus reticulatus | eatenBy | Camponotus westermanni
Myrsine monticola | eatenBy | Camponotus westermanni
Banisteriopsis angustifolia | eatenBy | Camponotus westermanni
Vochysia thyrsoidea | eatenBy | Camponotus westermanni
Lavoisiera confertiflora | eatenBy | Camponotus westermanni
Vellozia nivea | eatenBy | Camponotus westermanni
Barbacenia flava | eatenBy | Camponotus westermanni
Eriope hypoleuca | eatenBy | Camponotus westermanni
Byrsonima | eatenBy | Camponotus westermanni
Aphaenogaster fulva | interactsWith | Brachymyrmex
Liquidamber sytraciflua | interactsWith | Brachymyrmex
Quercus vriginiana | interactsWith | Brachymyrmex
Uloborus | preysOn | Brachymyrmex
Nephila clavipes | preysOn | Brachymyrmex
Tyrannochelifer | preysOn | Brachymyrmex
Agelaius phoeniceus | preysOn | Brachymyrmex
Dendroica | preysOn | Brachymyrmex
Casinaria grandis | parasitoidOf | Brachymyrmex
Stoidis aurata | preysOn | Brachymyrmex
Pirata | preysOn | Brachymyrmex
Calliephialtes ferrugineus | parasitoidOf | Brachymyrmex
Sergiolus | preysOn | Brachymyrmex
Gnaphosa | preysOn | Brachymyrmex
Anyphaena | preysOn | Brachymyrmex
Theridion | preysOn | Brachymyrmex
Hibana velox | preysOn | Brachymyrmex
Metepeira labyrinthea | preysOn | Brachymyrmex
Argiope argentata | preysOn | Brachymyrmex
Argyrodes nephilae | preysOn | Brachymyrmex
Ceroplastes | preyedUponBy | Brachymyrmex
Rhizophora mangle | eatenBy | Brachymyrmex
Misumenops | preysOn | Brachymyrmex
Melittobia chalybii | parasitoidOf | Brachymyrmex
Detritus | eatenBy | Brachymyrmex
Stillingia lineata lineata | flowersVisitedBy | Brachymyrmex
Roussea simplex | flowersVisitedBy | Brachymyrmex
Ixora parviflora var. ovata | flowersVisitedBy | Brachymyrmex
Doratoxylon apetalum var. apetalum | flowersVisitedBy | Brachymyrmex
Claoxylon linostachys brachyphyllum | flowersVisitedBy | Brachymyrmex
Coffea mauritiana | flowersVisitedBy | Brachymyrmex
Smilax anceps | flowersVisitedBy | Brachymyrmex
Croton fothergillifolius | flowersVisitedBy | Brachymyrmex
Embelia angustifolia | flowersVisitedBy | Brachymyrmex
Casearia coriacea | flowersVisitedBy | Brachymyrmex
Aphloia theiformis | flowersVisitedBy | Brachymyrmex
Helichrysum proteoides | flowersVisitedBy | Brachymyrmex
Erythroxylum macrochaetum | flowersVisitedBy | Brachymyrmex
Syzygium glomeratum | flowersVisitedBy | Brachymyrmex
Sideroxylon puberulum | flowersVisitedBy | Brachymyrmex
Toddalia asiatica | flowersVisitedBy | Brachymyrmex
Coffea macrocarpa | flowersVisitedBy | Brachymyrmex
Syzygium coriaceum | flowersVisitedBy | Brachymyrmex
Diospyros revaughanii | flowersVisitedBy | Brachymyrmex
Psiadia terebinthina | flowersVisitedBy | Brachymyrmex
Syzygium venosum | flowersVisitedBy | Brachymyrmex
Mollinedia | flowersVisitedBy | Brachymyrmex
Pittosporum phillyraeoides | flowersVisitedBy | Brachymyrmex
Harungana madagascariensis | flowersVisitedBy | Brachymyrmex
Badula platyphylla | flowersVisitedBy | Brachymyrmex
Molinaea alternifolia | flowersVisitedBy | Brachymyrmex
Tetrapterys microphylla | eatenBy | Brachymyrmex
Sapium glandulosum | eatenBy | Brachymyrmex
Myrsine monticola | eatenBy | Brachymyrmex
Hyptis | eatenBy | Camponotus vittatus
Myrsine monticola | eatenBy | Cephalotes eduarduli
Remijia ferruginea | eatenBy | Nesomyrmex spininodis
Vochysia thyrsoidea | eatenBy | Nesomyrmex spininodis
Vellozia alutacea | eatenBy | Nesomyrmex spininodis
Byrsonima | eatenBy | Camponotus rufipes
Vellozia nanuzae | eatenBy | Camponotus rufipes
Roupala mayana | eatenBy | Camponotus rufipes
Chamaecrista papillata | eatenBy | Camponotus rufipes
Vochysia thyrsoidea | eatenBy | Camponotus rufipes
Peixotoa tomentosa | eatenBy | Camponotus rufipes
Paepalanthus vellozioides | eatenBy | Camponotus rufipes
Aspilia jolyana | eatenBy | Camponotus rufipes
Camptosema coriaceum | eatenBy | Camponotus rufipes
Miconia ferruginata | eatenBy | Camponotus rufipes
Baccharis concinna | eatenBy | Camponotus rufipes
Bernardia similis | eatenBy | Camponotus rufipes
Symphyopappus reticulatus | eatenBy | Camponotus rufipes
Myrsine monticola | eatenBy | Camponotus rufipes
Mikania itambana | eatenBy | Camponotus rufipes
Dalbergia miscolobium | eatenBy | Camponotus rufipes
Lychnophora ramosissima | eatenBy | Camponotus rufipes
Vellozia alata | eatenBy | Camponotus rufipes
