source_taxon_name,interaction_type,target_taxon_name,study_citation,study_source_archive_uri
Escovopsis,pathogenOf,Apterostigma dentigerum,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Hypocreaceae,parasiteOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,parasiteOf,Apterostigma dentigerum,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,parasiteOf,Apterostigma pilosum,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,pathogenOf,Cyphomyrmex muelleri,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,pathogenOf,Cyphomyrmex costatus,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Hypocreaceae,kills,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC8383443,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Luteomyces,interactsWith,Mycocepurus,https://pmc.ncbi.nlm.nih.gov/articles/PMC8383443,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Hypocreaceae,interactsWith,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC8383443,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Cladosporiaceae,hasVector,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC8151820,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Cochliobolus geniculatus,pathogenOf,Atta laevigata,https://pmc.ncbi.nlm.nih.gov/articles/PMC8151820,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Bipolaris,pathogenOf,Atta,https://pmc.ncbi.nlm.nih.gov/articles/PMC8151820,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Formicidae,preysOn,Desulfonatronovibrionaceae,https://pmc.ncbi.nlm.nih.gov/articles/PMC7908599,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Formicidae,preysOn,Desulfonatronospira thiodismutans,https://pmc.ncbi.nlm.nih.gov/articles/PMC7908599,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Wolbachia,pathogenOf,Temnothorax,https://pmc.ncbi.nlm.nih.gov/articles/PMC7497042,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Wolbachia pipientis,pathogenOf,Temnothorax,https://pmc.ncbi.nlm.nih.gov/articles/PMC7497042,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps kimflemingiae,interactsWith,Camponotus castaneus,https://pmc.ncbi.nlm.nih.gov/articles/PMC7341126,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps kimflemingiae,pathogenOf,Camponotus castaneus,https://pmc.ncbi.nlm.nih.gov/articles/PMC7341126,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Camponotus floridanus,https://pmc.ncbi.nlm.nih.gov/articles/PMC7341126,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordycipitaceae,interactsWith,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC7341126,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,interactsWith,Camponotus,https://pmc.ncbi.nlm.nih.gov/articles/PMC7341126,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Laboulbenia,parasiteOf,Lasius,https://pmc.ncbi.nlm.nih.gov/articles/PMC6876665,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-renggeri,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-bispinosi,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-femorati,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-floridani,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-atricipis,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps kniphofioides,pathogenOf,Paraponera clavata,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Myrmica,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps kniphofioides,pathogenOf,Dinoponera longipes,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Cephalotes,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Streptomycetaceae,interactsWith,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Dinoponera,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Paraponera,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Camponotini,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Streptomyces,interactsWith,Paratrechina longicornis,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Streptomyces,interactsWith,Pseudomyrmex penetrator,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Streptomyces,interactsWith,Pseudomyrmex,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Paraponera clavata,interactsWith,Ophiocordyceps kniphofioides,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Actinobacteria,interactsWith,Paratrechina,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Formicidae,symbiontOf,Agaricaceae,https://pmc.ncbi.nlm.nih.gov/articles/PMC5415117,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Wolbachia,pathogenOf,Solenopsis invicta,https://pmc.ncbi.nlm.nih.gov/articles/PMC5062602,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Acromyrmex,eats,Agrocybe cylindracea,https://pmc.ncbi.nlm.nih.gov/articles/PMC3679412,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Acromyrmex,eats,Agrocybe,https://pmc.ncbi.nlm.nih.gov/articles/PMC3679412,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Formicidae,interactsWith,Bacteria,https://pmc.ncbi.nlm.nih.gov/articles/PMC3227565,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,kills,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC3118224,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Pleosporaceae,hasVector,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC8537540,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Alternaria infectoria,hasVector,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC8537540,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,interactsWith,Atta sexdens,https://pmc.ncbi.nlm.nih.gov/articles/PMC8238408,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,pathogenOf,Atta sexdens,https://pmc.ncbi.nlm.nih.gov/articles/PMC8238408,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,interactsWith,Atta,https://pmc.ncbi.nlm.nih.gov/articles/PMC8238408,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Laboulbenia,pathogenOf,Lasius neglectus,https://pmc.ncbi.nlm.nih.gov/articles/PMC7648450,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Atta,https://pmc.ncbi.nlm.nih.gov/articles/PMC7274273,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Entomophthoraceae,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6169396,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Burkholderiaceae,interactsWith,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6055595,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Burkholderiaceae,interactsWith,Tetraponera,https://pmc.ncbi.nlm.nih.gov/articles/PMC6055595,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps kniphofioides,pathogenOf,Dolichoderus bispinosus,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Hirsutella,pathogenOf,Cephalotes,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Myrmica rubra,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Attini,coOccursWith,Actinomycetales,https://pmc.ncbi.nlm.nih.gov/articles/PMC5881028,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Candidatus Blochmannia,symbiontOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC3927607,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Formicidae,hasHost,Bacteria,https://pmc.ncbi.nlm.nih.gov/articles/PMC3695770,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,interactsWith,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC3342268,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,interactsWith,Camponotus sericeiventris,https://pmc.ncbi.nlm.nih.gov/articles/PMC3047535,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-balzani,interactsWith,Camponotini,https://pmc.ncbi.nlm.nih.gov/articles/PMC3047535,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,interactsWith,Camponotini,https://pmc.ncbi.nlm.nih.gov/articles/PMC3047535,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-novogranadensis,interactsWith,Camponotini,https://pmc.ncbi.nlm.nih.gov/articles/PMC3047535,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-rufipedis,interactsWith,Camponotini,https://pmc.ncbi.nlm.nih.gov/articles/PMC3047535,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Colobopsis leonardi,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps pseudolloydii,pathogenOf,Dolichoderus thoracicus,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Polyrhachis,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Dolichoderus,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Camponotus,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Polyrhachis dives,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Polyrhachis wolfi,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,pathogenOf,Polyrhachis vigilans,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps unilateralis,parasiteOf,Polyrhachis,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,parasiteOf,Polyrhachis,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordycipitaceae,parasiteOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156370,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,pathogenOf,Apterostigma,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,pathogenOf,Attini,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,parasiteOf,Apterostigma,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,pathogenOf,Cyphomyrmex longiscapus,https://pmc.ncbi.nlm.nih.gov/articles/PMC8207340,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC8588673,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Sympodiorosea,kills,Mycetophylax,https://pmc.ncbi.nlm.nih.gov/articles/PMC8383443,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Luteomyces trichodermoides,interactsWith,Mycocepurus goeldii,https://pmc.ncbi.nlm.nih.gov/articles/PMC8383443,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Sympodiorosea kreiselii,kills,Mycetophylax morschi,https://pmc.ncbi.nlm.nih.gov/articles/PMC8383443,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Escovopsis,interactsWith,Attini,https://pmc.ncbi.nlm.nih.gov/articles/PMC8383443,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Pleosporaceae,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC8151820,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Cladosporium,hasVector,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC8151820,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Bipolaris,pathogenOf,Atta capiguara,https://pmc.ncbi.nlm.nih.gov/articles/PMC8151820,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Curvularia,pathogenOf,Atta,https://pmc.ncbi.nlm.nih.gov/articles/PMC8151820,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Anaplasmataceae,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC7497042,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-floridani,pathogenOf,Camponotus floridanus,https://pmc.ncbi.nlm.nih.gov/articles/PMC7341126,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps,pathogenOf,Camponotus castaneus,https://pmc.ncbi.nlm.nih.gov/articles/PMC7341126,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Laboulbenia,parasiteOf,Lasius neglectus,https://pmc.ncbi.nlm.nih.gov/articles/PMC6876665,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Laboulbeniaceae,parasiteOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6876665,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Attini,interactsWith,Actinobacteria,https://pmc.ncbi.nlm.nih.gov/articles/PMC6154731,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-nidulantis,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-hippocrepidis,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-novogranadensis,pathogenOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps camponoti-indiani,pathogenOf,Camponotus,https://pmc.ncbi.nlm.nih.gov/articles/PMC6002356,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Hypocreales,parasiteOf,Formicidae,https://pmc.ncbi.nlm.nih.gov/articles/PMC5804314,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Ophiocordyceps kniphofioides,pathogenOf,Cephalotes atratus,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Streptomyces,interactsWith,Petalomyrmex,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Streptomyces,interactsWith,Paratrechina,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Streptomyces,interactsWith,Petalomyrmex phylax,https://pmc.ncbi.nlm.nih.gov/articles/PMC5651009,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
